a,b,c,t,e,et
1.2,1500,5,10.0,57.6841201064965,0.027484382159421727
1.2,1500,6,0.0,0.0,54.8924684286576
1.2,1500,6,0.5,20.6736212728709,27.802016662826
1.2,1500,6,1.0,27.802016662826,11.6555248690015
1.2,1500,6,1.5,32.3291461418724,8.691478156564202
1.2,1500,6,2.0,36.4934948193902,7.9778952826926
1.2,1500,6,2.5,40.307041424565,7.288522488654301
1.2,1500,6,3.0,43.7820173080445,6.623838914235002
1.2,1500,6,3.5,46.9308803388,5.984353234756398
1.2,1500,6,4.0,49.7663705428009,5.370639851137597
1.2,1500,6,4.5,52.3015201899376,4.783291518793902
1.2,1500,6,5.0,54.5496620615948,4.2230044012915045
1.2,1500,6,5.5,56.5245245912291,3.690490797114201
1.2,1500,6,6.0,58.240152858709,3.1866100438396003
1.2,1500,6,6.5,59.7111346350687,2.7122619271123938
1.2,1500,6,7.0,60.9524147858214,2.2685207792466997
1.2,1500,6,7.5,61.9796554143154,1.8566202968173044
1.2,1500,6,8.0,62.8090350826387,1.4779190642770956
1.2,1500,6,8.5,63.4575744785925,1.1343964503554957
1.2,1500,6,9.0,63.9434315329942,0.8275842129555073
1.2,1500,6,9.5,64.285158691548,0.5604005636615028
1.2,1500,6,10.0,64.5038320966557,0.3142930567692872
1.2,1500,7,0.0,0.0,80.1015625008307
1.2,1500,7,0.5,29.6608398201954,38.5417967799509
1.2,1500,7,1.0,38.5417967799509,13.6190480315502
1.2,1500,7,1.5,43.2798878517456,8.852567063118997
1.2,1500,7,2.0,47.3943638430699,7.655731622229304
1.2,1500,7,2.5,50.9356194739749,6.558684923962602
1.2,1500,7,3.0,53.9530487670325,5.558974410486094
1.2,1500,7,3.5,56.494593884461,4.653968950238799
1.2,1500,7,4.0,58.6070177172713,3.841105218819301
1.2,1500,7,4.5,60.3356991032803,3.117414094882804
1.2,1500,7,5.0,61.7244318121541,2.4801442300771015
1.2,1500,7,5.5,62.8158433333574,1.925908632854501
1.2,1500,7,6.0,63.6503404450086,1.4516781580317044
1.2,1500,7,6.5,64.2675214913891,1.0535930319048035
1.2,1500,7,7.0,64.7039334769134,0.7281237502037925
1.2,1500,7,7.5,64.9956452415929,0.468459178044597
1.2,1500,7,8.0,65.172392654958,0.2779495409942001
1.2,1500,7,8.5,65.2735947825871,0.14717422522679158
1.2,1500,7,9.0,65.3195668801848,0.04162369060939852
1.2,1500,7,9.5,65.3152184731965,0.005788038851207489
1.2,1500,7,10.0,65.325354919036,0.03475774450683389
1.2,1800,3,0.0,0.0,35.3682803816695
1.2,1800,3,0.5,13.9421515042275,20.4003256352405
1.2,1800,3,1.0,20.4003256352405,10.635879370926801
1.2,1800,3,1.5,24.5780308751543,7.786021030975
1.2,1800,3,2.0,28.1863466662155,6.6945514833291
1.2,1800,3,2.5,31.2725823584834,5.696776042905803
1.2,1800,3,3.0,33.8831227091213,4.790496873643701
1.2,1800,3,3.5,36.0630792321271,3.9732765204729006
1.2,1800,3,4.0,37.8563992295942,3.242803641297698
1.2,1800,3,4.5,39.3058828734248,2.5962943916866976
1.2,1800,3,5.0,40.4526936212809,2.0312359700727
1.2,1800,3,5.5,41.3371188434975,1.5444165842084985
1.2,1800,3,6.0,41.9971102054894,1.1330089649751969
1.2,1800,3,6.5,42.4701278084727,0.7942815676924013
1.2,1800,3,7.0,42.7913917731818,0.5215095145229043
1.2,1800,3,7.5,42.9916373229956,0.3133508444951971
1.2,1800,3,8.0,43.104742617677,0.14704896319140204
1.2,1800,3,8.5,43.138686286187,0.06390333103639989
1.2,1800,3,9.0,43.1686459487134,0.02278263594629948
1.2,1800,3,9.5,43.1614689221333,0.0038581007398050815
1.2,1800,3,10.0,43.1725040494532,0.04028240853978815
1.2,1800,4,0.0,0.0,46.344248634855404
1.2,1800,4,0.5,18.4788807738251,27.571274460445
1.2,1800,4,1.0,27.571274460445,14.889636879544899
1.2,1800,4,1.5,33.36851765337,10.616627751441502
1.2,1800,4,2.0,38.1879022118865,8.781231134989405
1.2,1800,4,2.5,42.1497487883594,7.1782215418202995
1.2,1800,4,3.0,45.3661237537068,5.7903987834954975
1.2,1800,4,3.5,47.9401475718549,4.6003733374435996
1.2,1800,4,4.0,49.9664970911504,3.591751404372502
1.2,1800,4,4.5,51.5318989762274,2.7476371019659993
1.2,1800,4,5.0,52.7141341931164,2.052299260255694
1.2,1800,4,5.5,53.5841982364831,1.489547648548296
1.2,1800,4,6.0,54.2036818416647,1.0442327056645055
1.2,1800,4,6.5,54.6284309421476,0.7016640478572
1.2,1800,4,7.0,54.9053458895219,0.44547717339129633
1.2,1800,4,7.5,55.0739081155389,0.2614398264983038
1.2,1800,4,8.0,55.1667857160202,0.13909117485339806
1.2,1800,4,8.5,55.2129992903923,0.06717473739190183
1.2,1800,4,9.0,55.2339604534121,0.02037378341429985
1.2,1800,4,9.5,55.2333730738066,0.004053371108895476
1.2,1800,4,10.0,55.238013824521,0.014509631748701679
1.2,1800,5,0.0,0.0,68.32055260253301
1.2,1800,5,0.5,25.7037287911976,34.4943625622574
1.2,1800,5,1.0,34.4943625622574,13.864155918794498
1.2,1800,5,1.5,39.5678847099921,9.458687000126098
1.2,1800,5,2.0,43.9530495623835,8.141263923298197
